customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0021-CUST5904,Male,1,Yes,No,18,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),84.59,1547.77,Yes
0022-CUST6779,Female,0,Yes,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.3,1140.68,No
0023-CUST6653,Female,0,Yes,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.67,1757.05,Yes
0024-CUST5252,Female,0,No,Yes,41,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Mailed check,67.43,2751.68,No
0025-CUST6933,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.67,3129.3,Yes
0026-CUST9392,Female,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,81.27,5418.63,Yes
0027-CUST8556,Female,0,No,Yes,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,77.75,2919.93,No
0028-CUST4895,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.86,5582.26,Yes
0029-CUST5440,Female,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.84,129.18,Yes
0030-CUST3463,Male,0,Yes,No,70,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),56.28,3928.88,No
0031-CUST3144,Male,0,No,No,49,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),81.87,4010.63,Yes
0032-CUST7097,Female,0,Yes,No,51,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,63.92,3262.16,No
0033-CUST9812,Female,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.03,869.23,No
0034-CUST7883,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.9,458.9,No
0035-CUST2777,Male,0,Yes,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,89.0,1601.06,Yes
0036-CUST4880,Female,0,No,No,8,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.83,389.26,Yes
0037-CUST7684,Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,98.96,5944.08,No
0038-CUST2132,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,89.28,1706.01,Yes
0039-CUST1954,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),80.04,3938.18,Yes
0040-CUST1131,Male,0,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.89,512.92,No
0041-CUST1604,Male,0,No,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,218.64,Yes
0042-CUST5661,Female,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,84.03,919.2,Yes
0043-CUST8409,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,90.97,788.07,Yes
0044-CUST2400,Female,1,Yes,No,64,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),55.95,3583.91,No
0045-CUST7447,Female,0,No,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.42,2354.07,Yes
0046-CUST3548,Female,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,80.52,548.3,Yes
0047-CUST6759,Male,0,Yes,No,20,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,61.53,1217.24,Yes
0048-CUST2885,Female,0,Yes,No,21,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,81.33,1734.04,No
0049-CUST1338,Female,0,Yes,No,17,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,52.46,924.47,Yes
0050-CUST6803,Male,1,Yes,No,65,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),66.73,4320.75,No
0051-CUST7558,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),89.84,4273.51,No
0052-CUST1910,Male,0,No,No,43,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,92.36,3979.83,Yes
0053-CUST4996,Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),87.14,715.59,Yes
0054-CUST5270,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,81.26,5356.12,No
0055-CUST9019,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,87.92,4664.92,No
0056-CUST6500,Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,458.52,No
0057-CUST5614,Male,0,No,No,25,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),78.39,1941.76,Yes
0058-CUST1896,Male,0,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.26,767.65,No
0059-CUST9424,Male,1,Yes,No,7,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,77.61,542.49,Yes
0060-CUST3758,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),74.88,663.92,Yes
0061-CUST9316,Male,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.93,3169.53,Yes
0062-CUST1697,Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,97.3,5265.45,Yes
0063-CUST2061,Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.3,1240.02,No
0064-CUST1247,Male,0,Yes,Yes,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,682.49,No
0065-CUST2919,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,254.8,Yes
0066-CUST2611,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,65.73,1127.17,Yes
0067-CUST9332,Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Mailed check,81.72,1789.94,No
0068-CUST5192,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.49,4612.36,Yes
0069-CUST6774,Female,0,Yes,Yes,45,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),75.27,3387.24,No
0070-CUST4663,Female,0,No,No,38,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,64.39,2442.43,No
0071-CUST2377,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,232.8,No
0072-CUST8155,Male,0,No,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,939.98,No
0073-CUST7618,Female,1,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),93.47,5847.13,No
0074-CUST3863,Male,0,No,No,62,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,60.16,3758.68,Yes
0075-CUST5630,Female,0,Yes,Yes,15,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),69.38,1064.45,No
0076-CUST3312,Female,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.55,5951.46,Yes
0077-CUST9863,Female,0,Yes,No,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,77.18,4987.92,Yes
0078-CUST9496,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.07,276.22,Yes
0079-CUST5879,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),67.47,3100.3,No
0080-CUST2311,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,87.08,697.84,No
0081-CUST8842,Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.36,4734.8,No
0082-CUST5396,Male,0,No,No,33,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,52.45,1704.57,No
0083-CUST9327,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.2,525.31,No
0084-CUST7631,Male,1,No,Yes,36,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,76.14,2750.02,Yes
0085-CUST4312,Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.6,781.58,No
0086-CUST3851,Female,0,No,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),81.6,5095.42,No
0087-CUST4032,Male,0,No,Yes,23,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),101.97,2355.38,Yes
0088-CUST3406,Female,0,No,No,70,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),68.57,4807.46,No
0089-CUST4065,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),80.96,2669.79,No
0090-CUST8619,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,83.16,3927.83,No
0091-CUST8886,Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,85.9,967.48,Yes
0092-CUST9322,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.9,1830.51,No
0093-CUST1626,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),74.18,859.92,Yes
0094-CUST1287,Female,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.0,766.69,No
0095-CUST6886,Female,0,No,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,1138.05,Yes
0096-CUST3707,Female,0,Yes,Yes,46,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),66.83,3069.21,No
0097-CUST3103,Female,0,Yes,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.6,1305.03,No
0098-CUST3381,Female,0,Yes,Yes,4,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.24,279.55,Yes
0099-CUST2634,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,94.56,374.92,Yes
0100-CUST9878,Male,0,No,No,59,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),62.52,3701.26,No
0101-CUST2611,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.08,486.09,Yes
0102-CUST5062,Female,0,No,No,23,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.42,1563.2,Yes
0103-CUST6513,Female,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,82.39,1405.18,Yes
0104-CUST9032,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.51,1800.66,Yes
0105-CUST6283,Female,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,67.95,3618.27,Yes
0106-CUST6929,Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.42,767.83,No
0107-CUST2401,Female,0,Yes,Yes,23,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,62.36,1394.46,No
0108-CUST7191,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),80.3,4724.52,No
0109-CUST2553,Male,0,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.59,1112.67,No
0110-CUST7744,Female,1,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.82,446.74,Yes
0111-CUST4570,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.93,531.24,No
0112-CUST7295,Female,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,98.18,6579.3,No
0113-CUST9851,Female,0,Yes,No,33,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,75.75,2521.62,Yes
0114-CUST1964,Male,0,No,Yes,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),84.36,5830.0,No
0115-CUST1987,Female,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,55.08,1521.98,No
0116-CUST9804,Male,1,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.03,693.17,Yes
0117-CUST8366,Female,0,No,No,41,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),58.39,2401.25,Yes
0118-CUST3130,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,391.33,No
0119-CUST8221,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),60.04,4111.73,Yes
0120-CUST5966,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.22,28.17,Yes
0121-CUST4506,Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),64.32,1480.19,Yes
0122-CUST8719,Female,0,Yes,Yes,16,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,64.72,1048.79,No
0123-CUST9420,Male,1,Yes,No,64,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,79.61,5101.14,Yes
0124-CUST2018,Male,0,No,No,69,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,52.48,3626.5,Yes
0125-CUST6290,Female,0,Yes,No,68,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),90.13,6151.55,No
0126-CUST3879,Female,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.26,5733.12,No
0127-CUST7657,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),66.79,3289.48,No
0128-CUST4357,Female,0,No,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.66,264.03,No
0129-CUST6734,Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,98.94,4540.17,No
0130-CUST2546,Female,0,Yes,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,88.16,5810.4,No
0131-CUST2611,Male,0,No,No,64,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),66.38,4232.96,No
0132-CUST4977,Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,65.38,1672.73,Yes
0133-CUST6107,Male,0,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.74,2421.66,Yes
0134-CUST5149,Male,1,Yes,Yes,61,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.42,3810.32,No
0135-CUST5612,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),81.9,3525.91,Yes
0136-CUST8662,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),90.04,1614.11,No
0137-CUST5511,Male,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),94.54,5518.08,No
0138-CUST1555,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),89.4,637.82,Yes
0139-CUST9397,Male,1,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.21,4316.26,Yes
0140-CUST4863,Female,0,No,No,46,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),61.92,2830.76,No
0141-CUST1117,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),51.33,67.71,Yes
0142-CUST3527,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),88.0,3351.66,No
0143-CUST4851,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,60.21,2671.69,Yes
0144-CUST4761,Female,0,No,No,31,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,59.42,1856.1,Yes
0145-CUST6490,Male,0,No,Yes,64,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),71.88,4575.91,Yes
0146-CUST7371,Male,0,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.84,718.61,Yes
0147-CUST6236,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),79.48,777.24,Yes
0148-CUST6703,Male,0,No,No,9,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,41.84,380.9,Yes
0149-CUST5636,Female,0,Yes,No,58,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),50.52,2927.69,Yes
0150-CUST7230,Male,0,No,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),100.33,5408.71,Yes
0151-CUST4000,Male,0,No,No,19,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.42,1844.76,Yes
0152-CUST8422,Male,0,No,Yes,16,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,76.15,1231.88,Yes
0153-CUST6515,Male,0,No,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.91,1464.35,No
0154-CUST3225,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,83.6,320.78,Yes
0155-CUST6987,Female,1,Yes,Yes,59,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),52.21,3054.29,No
0156-CUST3993,Male,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.93,2070.4,Yes
0157-CUST9722,Female,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.95,1009.11,Yes
0158-CUST5862,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,72.8,3699.44,No
0159-CUST4440,Female,0,Yes,No,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),86.68,816.39,Yes
0160-CUST2996,Male,0,Yes,Yes,45,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),48.49,2194.64,No
0161-CUST9933,Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),97.55,2617.52,Yes
0162-CUST2074,Female,1,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,85.6,3582.95,Yes
0163-CUST8528,Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,407.82,Yes
